"AIRPORT","TR_AIRPORT_NAME","TR_CITY_NAME","TR_STATE_NAME",
"LAC","Pulau Layang-Layang, Malaysia: Pulau Layang-Layang Airport","Pulau Layang-Layang, Malaysia","",
"SDK","Sandakan, Malaysia: Sandakan Airport","Sandakan, Malaysia","",
"SBW","Sibu, Malaysia: Sibu Airport","Sibu, Malaysia","",
"GTK","Sungei Tekai, Malaysia: Sungei Tekai Airport","Sungei Tekai, Malaysia","",
"TWU","Tawau, Malaysia: Tawau Airport","Tawau, Malaysia","",
"BWH","Butterworth, Malaysia: Butterworth A/D Penang Malaysia        Bwh","Butterworth Airport, Malaysia","",
"AOR","Alor Setar, Malaysia: Alor Setar Airport","Alor Setar, Malaysia","",
"BKM","Bakalalan, Malaysia: Bakalalan Airport","Bakalalan, Malaysia","",
"BTU","Bintulu, Malaysia: Bintulu","Bintulu, Malaysia","",
"JKT","Djakarta, Indonesia: Kamayoran International","Djakarta, Indonesia","",
"DJB","Jambi, Indonesia: Paalmerah","Jambi, Indonesia","",
"GTO","Gorontalo, Indonesia: Jalaluddin","Gorontalo, Indonesia","",
"CGK","Jakarta, Indonesia: Cengkareng International","Jakarta, Indonesia","",
"HLP","Jakarta, Indonesia: Halim Perdana Kusuma International","Jakarta, Indonesia","",
"JOG","Jogyakarta, Indonesia: Adisutjipto","Jogyakarta, Indonesia","",
"KOE","Kupang, Indonesia: Penfui","Kupang, Indonesia","",
"LSX","Lhok Sukon, Indonesia: Lhok Sukon Airport","Lhok Sukon, Indonesia","",
"MKW","Manokwari, Indonesia: Rendani","Manokwari, Indonesia","",
"MXB","Masamba, Indonesia: Masamba Airport","Masamba, Indonesia","",
"MES","Medan, Indonesia: Polonia","Medan, Indonesia","",
"MDC","Menado, Indonesia: Sam Ratulangi","Menado, Indonesia","",
"PDG","Padang, Indonesia: Tabing","Padang, Indonesia","",
"PKU","Pakanbaru, Indonesia: Pakanbaru Sumatra","Pakanbaru, Indonesia","",
"PLM","Palembang, Indonesia: Talangbetutu","Palembang, Indonesia","",
"PGK","Pangkalpinang, Indonesia: Pangkalpinang Airport","Pangkalpinang, Indonesia","",
"PNK","Pontianak, Indonesia: Supadio","Pontianak, Indonesia","",
"SRG","Semarang, Indonesia: Achmad Yani","Semarang, Indonesia","",
"SQR","Soroako, Indonesia: Soroako Airport","Soroako, Indonesia","",
"SEQ","Sungai Pakning, Indonesia: Sungaipakning","Sungai Pakning, Indonesia","",
"SUB","Surabaya, Indonesia: Perak","Surabaya, Indonesia","",
"TAX","Taliabu, Indonesia: Taliabu Airport","Taliabu, Indonesia","",
"TRK","Tarakan, Indonesia: Tarakan Airport","Tarakan, Indonesia","",
"TKG","Telukbetung, Indonesia: Branti","Telukbetung, Indonesia","",
"TIM","Tembagapura, Indonesia: Timika","Tembagapura, Indonesia","",
"UPG","Ujung Pandang, Indonesia: Hasanuddin","Ujung Pandang, Indonesia","",
"HLP","Halim Per Kusama, Indonesia: Halim Per Kusama","Halim Per Kusama Airport, Indonesia","",
"JKT","Jakarta, Indonesia: Jakarta Metropolitan Area","Jakarta, Indonesia","",
"AYW","Ayawasi, Indonesia: Ayawasi Airport","Ayawasi, Indonesia","",
"BXD","Bade, Indonesia: Bade Airport","Bade, Indonesia","",
"BTH","Batu Besar, Indonesia: Batu Besar Airport","Batu Besar, Indonesia","",
"/JK","Jakarta, Indonesia: Jakarta","Jakarta, Indonesia","",
"/JK","Jakarta, Indonesia: Jakarta Airport","Jakarta, Indonesia","",
"MLG","Malang, Indonesia: Abdul Rachman Saleh","Malang, Indonesia","",
"MPT","Maliana, Indonesia: Maliana Airport","Maliana, Indonesia","",
"MKW","Manokwari, Indonesia: Manokwari Airport","Manokwari, Indonesia","",
"MEQ","Meulaboh, Indonesia: Seunagan","Meulaboh, Indonesia","",
"PKU","Pekanbaru, Indonesia: Simpang Tiga","Pekanbaru, Indonesia","",
"PLW","Palu, Indonesia: Palu Celebes-Mutiara Indon.","Palu, Indonesia","",
"SRI","Samarinda, Indonesia: Samarinda Airport","Samarinda, Indonesia","",
"SQN","Sanana, Indonesia: Sanana","Sanana, Indonesia","",
"SAU","Sawu, Indonesia: Sawu Indonesia","Sawu, Indonesia","",
"SOS","Solo, Indonesia: Solo Indonesia","Solo, Indonesia","",
"SOC","Solo, Indonesia: Panasan","Solo, Indonesia","",
"SOQ","Sorong, Indonesia: Sorong","Sorong, Indonesia","",
"TNJ","Tandjungpinang, Indonesia: Kidjang","Tandjungpinang, Indonesia","",
"TIM","Timika, Indonesia: Timika Airport","Timika, Indonesia","",
"JOG","Yogyakarta, Indonesia: Adisutjipto","Yogyakarta, Indonesia","",
"JON","Johnston Island, Johnston Island: Johnston Atoll","Johnston Island, Johnston Island","",
"UVE","Ouvea, Loyalty Islands-France: Ouvea Airport","Ouvea, Loyalty Islands-France","",
"UVE","Ouvea, Loyalty Islands-France: Ouvea Airport","Ouvea, Loyalty Islands-France","",
"UVE","Ourifa, Loyalty Islands-France: Ouvea Ouloup","Ourifa, Loyalty Islands-France","",
"ROP","Rota, Commonwealth Of Northern Mariana Islands: Rota International","Rota, Commonwealth Of Northern Mariana Islands","",
"SPN","Saipan, Commonwealth Of Northern Mariana Islands: Saipan International","Saipan, Commonwealth Of Northern Mariana Islands","",
"TIQ","Tinian, Commonwealth Of Northern Mariana Islands: West Tinian","Tinian, Commonwealth Of Northern Mariana Islands","",
"KWA","Kwajalein, Marshall Islands: Bucholz Army Air Field","Kwajalein, Marshall Islands","",
"LIK","Likiep Isl., Marshall Islands: Likiep Island","Likiep Isl., Marshall Islands","",
"KVA","Kavalla, Greece: Kavalla Airport","Kavalla, Greece","",
"EFL","Kefallinia, Greece: Kefallinia Airport","Kefallinia, Greece","",
"KGS","Kos, Greece: Kos Airport","Kos, Greece","",
"KZI","Kozani, Greece: Kozani Airport","Kozani, Greece","",
"LRA","Larissa, Greece: Larisa","Larissa, Greece","",
"LXS","Lemnos, Greece: Lemnos Airport","Lemnos, Greece","",
"MLO","Milos, Greece: Milos Airport","Milos, Greece","",
"MJT","Mytilene, Greece: Mitilini","Mytilene, Greece","",
"PAS","Paros, Greece: Paros Airport","Paros, Greece","",
"PKH","Porto-Kheli, Greece: Porto Heli","Porto-Kheli, Greece","",
"PVK","Preveza, Greece: Preveza Airport","Preveza, Greece","",
"RHO","Rhodes, Greece: Rodos","Rhodes, Greece","",
"SMI","Samos, Greece: Samos Airport","Samos, Greece","",
"JSI","Skiathos, Greece: Skiathos Airport","Skiathos, Greece","",
"SKU","Skiros, Greece: Skiros Airport","Skiros, Greece","",
"JSY","Syros Island, Greece: Syros","Syros Island, Greece","",
"SKG","Thessaloniki, Greece: Thessaloniki Airport","Thessaloniki, Greece","",
"VOL","Volos, Greece: Volos Airport","Volos, Greece","",
"ZTH","Zakinthos, Greece: Zakinthos Airport","Zakinthos, Greece","",
"EFL","Argostolion, Greece: Argostolion","Argostolion, Greece","",
"CXP","Cephalonia, Greece: Kefallinia","Cephalonia, Greece","",
"JKH","Chios, Greece: Hios","Chios, Greece","",
"AOK","Karpathos, Greece: Karpathos Airport","Karpathos, Greece","",
"KSO","Kastoria, Greece: Kastoria","Kastoria, Greece","",
"KIT","Kithira, Greece: Kithira","Kithira, Greece","",
"JMK","Myconos, Greece: Mikonos","Myconos, Greece","",
"PYR","Pyrgos, Greece: Pyrgos Airport","Pyrgos, Greece","",
"JTR","Santorini, Greece: Santorini Airport","Santorini, Greece","",
"BUD","Budapest, Hungary: Hung  Ferihegy","Budapest, Hungary","",
"DEB","Debrecen, Hungary: Debrecen Airport","Debrecen, Hungary","",
"AEY","Akureyri, Iceland: Akureyri Airport","Akureyri, Iceland","",
"HZK","Husavik, Iceland: Husavik Airport","Husavik, Iceland","",
"IFJ","Isafjordur, Iceland: Isafjordur Airport","Isafjordur, Iceland","",
"KEF","Keflavik/Reykjavik, Iceland: Keflavik","Keflavik/Reykjavik, Iceland","",
"REK","Keflavik/Reykjavik, Iceland: Reykjavik","Keflavik/Reykjavik, Iceland","",
"OLI","Olafsvik, Iceland: Rif","Olafsvik, Iceland","",
"KEF","Reykjavik, Iceland: Keflavik Nas","Reykjavik, Iceland","",
"RKV","Reykjavik, Iceland: Reykjavik","Reykjavik, Iceland","",
"REK","Reykjavik, Iceland: Metropolitan Area","Reykjavik, Iceland","",
"VEY","Vestmannaeyjar, Iceland: Vestmannaeyjar Airport","Vestmannaeyjar, Iceland","",
"BLO","Blonduos, Iceland: Blonduos/Hjaltabakki","Blonduos, Iceland","",
"EGS","Egilsstadir, Iceland: Egilsstadir","Egilsstadir, Iceland","",
"HFN","Hofn, Iceland: Hofn Airport","Hofn, Iceland","",
"/RE","Keflavik/Reykjavik, Iceland: /Re Keflavik/Reykjavik","Keflavik/Reykjavik, Iceland","",
"NOR","Nordfjordur, Iceland: Nordfjordur Airport","Nordfjordur, Iceland","",
"/RE","Reykjavik, Iceland: (Reykjavik Mean)","Reykjavik, Iceland","",
"BYT","Bantry, Ireland: Bantry Airport","Bantry, Ireland","",
"NOC","Connaught, Ireland: Ireland West Knock","Connaught, Ireland","",
"ORK","Cork, Ireland: Cork Airport","Cork, Ireland","",
"DUB","Dublin, Ireland: Dublin Airport","Dublin, Ireland","",
"KIR","Kerry County, Ireland: Kerry","Kerry County, Ireland","",
"SNN","Shannon, Ireland: Shannon Airport","Shannon, Ireland","",
"SXL","Sligo, Ireland: Sligo Airport","Sligo, Ireland","",
"WAT","Waterford, Ireland: Waterford Airport","Waterford, Ireland","",
"BYT","Bantry, Ireland: Bantry Airport","Bantry, Ireland","",
"GWY","Galway, Ireland: Carnmore","Galway, Ireland","",
"IOR","Inishmore, Ireland: Inishmore Airport","Inishmore, Ireland","",
"AHO","Alghero/Sassari, Italy: Alghero","Alghero/Sassari, Italy","",
"AOI","Ancona, Italy: Ancona/Falconara","Ancona, Italy","",
"AVB","Aviano, Italy: Aviano Air Force Base","Aviano, Italy","",
"BRI","Bari, Italy: Bari/Palese Macchie","Bari, Italy","",
"BGY","Bergamo, Italy: Bergamo/Orio Al Serio","Bergamo, Italy","",
"BLQ","Bologna, Italy: Bologna/Borgo Panigale","Bologna, Italy","",
"NBC","Naberevnye Chelny, Russia (European): Nizhnekamsk","Naberevnye Chelny, Russia (European)","",
"GOJ","Nizhniy Novgorod, Russia (European): Nizhniy Novgorod Airport","Nizhniy Novgorod, Russia (European)","",
"REN","Orenburg, Russia (European): Orenburg Airport","Orenburg, Russia (European)","",
"PEE","Perm, Russia (European): Perm Airport","Perm, Russia (European)","",
"ROV","Rostov, Russia (European): Rostov Airport","Rostov, Russia (European)","",
"KUF","Samara, Russia (European): Kujbysev","Samara, Russia (European)","",
"LED","St. Petersburg, Russia (European): Pulkovo","St. Petersburg, Russia (European)","",
"LED","St. Petersburg, Russia (European): Pulkovo","St. Petersburg, Russia (European)","",
"STW","Stavropol, Russia (European): Stavropol Airport","Stavropol, Russia (European)","",
"UFA","Ufa, Russia (European): Ufa Airport","Ufa, Russia (European)","",
"ULY","Ulyanovsk, Russia (European): Ulyanovsk Airport","Ulyanovsk, Russia (European)","",
"VOG","Volgograd, Russia (European): Volgograd Airport","Volgograd, Russia (European)","",
"/MS","Moscow, Russia (European): (Moscow Mean)","Moscow, Russia (European)","",
"BEG","Belgrade, Serbia and Montenegro: Beograd","Belgrade, Serbia and Montenegro","",
"PRN","Pristina, Serbia and Montenegro: Pristina Airport","Pristina, Serbia and Montenegro","",
"LJU","Ljubljana, Slovenia: Ljubljana Airport","Ljubljana, Slovenia","",
"MBX","Maribor, Slovenia: Maribor Airport","Maribor, Slovenia","",
"POW","Portoroz, Slovenia: Portoroz Airport","Portoroz, Slovenia","",
"ALC","Alicante, Spain: La Rabasa","Alicante, Spain","",
"LEI","Almeria, Spain: Almeria Airport","Almeria, Spain","",
"ACE","Arrecife, Spain: Lanzarote","Arrecife, Spain","",
"BCN","Barcelona, Spain: Barcelona Airport","Barcelona, Spain","",
"BIO","Bilbao, Spain: Bilbao Airport","Bilbao, Spain","",
"ODB","Cordoba, Spain: Cordoba Airport","Cordoba, Spain","",
"FUE","Fuerteventura, Spain: Fuerteventura Airport","Fuerteventura, Spain","",
"GRO","Gerona, Spain: Gerona Costa Brava","Gerona, Spain","",
"GRX","Granada, Spain: Granadarca","Granada, Spain","",
"IBZ","Ibiza, Spain: Ibiza Airport","Ibiza, Spain","",
"XRY","Jerez De La Frontera, Spain: Jerez","Jerez De La Frontera, Spain","",
"LCG","La Coruna, Spain: La Coruna Airport","La Coruna, Spain","",
"LPA","Las Palmas, Spain: Gran Canaria","Las Palmas, Spain","",
"MAD","Madrid, Spain: Barajas","Madrid, Spain","",
"TOJ","Madrid, Spain: Torrejon Air Force Base","Madrid, Spain","",
"MAH","Mahon, Spain: Menorca","Mahon, Spain","",
"AGP","Malaga, Spain: Malaga Airport","Malaga, Spain","",
"MLN","Melilla, Spain: Melilla Airport","Melilla, Spain","",
"OZP","Moron, Spain: Moron Ab","Moron, Spain","",
"MJV","Murcia, Spain: Murcia Airport","Murcia, Spain","",
"OVD","Oviedo, Spain: Oviedo Airport","Oviedo, Spain","",
"PMI","Palma Mallorca, Spain: Palma De Mallorca","Palma Mallorca, Spain","",
"PNA","Pamplona, Spain: Pamplona Airport","Pamplona, Spain","",
"REU","Reus, Spain: Reus Airport","Reus, Spain","",
"RTA","Rota, Spain: Rota Nas","Rota, Spain","",
"ZXA","Rota, Spain: Rota Nas","Rota, Spain","",
"EAS","San Sebastian, Spain: San Sebastian Airport","San Sebastian, Spain","",
"SPC","Santa Cruz De La Palma, Spain: La Palma","Santa Cruz De La Palma, Spain","",
"SDR","Santander, Spain: Santander Airport","Santander, Spain","",
"SCQ","Santiago De Compostela, Spain: Santiago","Santiago De Compostela, Spain","",
"SVQ","Sevilla, Spain: Seville","Sevilla, Spain","",
"TCI","Tenerife, Spain: (Metropolitan Area)","Tenerife, Spain","",
"TFS","Tenerife, Spain: Reina Sofia Tenerife/Sur","Tenerife, Spain","",
"TFN","Tenerife, Spain: Tenerife Airport","Tenerife, Spain","",
"VLC","Valencia, Spain: Valencia Airport","Valencia, Spain","",
"VGO","Vigo, Spain: Vigo Airport","Vigo, Spain","",
"VIT","Vitoria, Spain: Vitoria Airport","Vitoria, Spain","",
"ZAZ","Zaragoza, Spain: Zaragoza Ab","Zaragoza, Spain","",
"WGW","Asturias, Spain: Asturias Airport","Asturias, Spain","",
"BJZ","Badajoz, Spain: Talavera La Real","Badajoz, Spain","",
"/MP","Madrid, Spain: (Madrid Mean)","Madrid, Spain","",
"/TE","Tenerife, Spain: (Tenerife-Mean)","Tenerife, Spain","",
"VLL","Valladolid, Spain: Valladolid Airport","Valladolid, Spain","",
"VDE","Valverde, Spain: Hierro","Valverde, Spain","",
"BTS","Bratislava, Slovakia: Ivanka","Bratislava, Slovakia","",
"KSC","Kosice, Slovakia: Barca","Kosice, Slovakia","",
"TAO","Qingdao, China: Qingdao Airport","Qingdao, China","",
"SYX","Sanya, China: Sanya Airport","Sanya, China","",
"SHA","Shanghai, China: Hongqiao","Shanghai, China","",
"SHA","Shanghai, China: Hongqiao International","Shanghai, China","",
"PVG","Shanghai, China: Pudong International","Shanghai, China","",
"HSC","Shaoguan, China: Shaoguan Airport","Shaoguan, China","",
"SHE","Shenyang, China: Shenyang Airport","Shenyang, China","",
"TYN","Taiyuan, China: Taiyuan Airport","Taiyuan, China","",
"TSN","Tientsin, China: Tientsin/Tien Chin-Chang Kuei Chuang","Tientsin, China","",
"WUH","Wuhan, China: Wuhan Airport","Wuhan, China","",
"SIA","Xi An, China: Xi An Xiguan","Xi An, China","",
"XIY","Xi An, China: Xianyang","Xi An, China","",
"XMN","Xiamen, China: Xiamen Airport","Xiamen, China","",
"SIA","Xian, China: Xiguan","Xian, China","",
"XIC","Xichang, China: Xichang Airport","Xichang, China","",
"XUZ","Xuzhou, China: Xuzhou Airport","Xuzhou, China","",
"YNT","Yantai, China: Laishan","Yantai, China","",
"SZX","Shenzhen, China: Shenzhen Airport","Shenzhen, China","",
"BAV","Baotou, China: Baotou Airport","Baotou, China","",
"PEK","Beijing, China: Beijing Airport","Beijing, China","",
"/BC","Beijing, China: Metropolitan Area","Beijing, China","",
"CIH","Changzhi, China: Changzhi","Changzhi, China","",
"CTU","Chengdu, China: Chengdu Airport","Chengdu, China","",
"CZX","Changzhou, China: Changzhou Airport","Changzhou, China","",
"FOC","Fuzhou, China: Fuzhou Airport","Fuzhou, China","",
"CAN","Guangzhou, China: Guangzhou Airport","Guangzhou, China","",
"KWL","Guilin, China: Guilin Airport","Guilin, China","",
"KWE","Guiyang, China: Guiyang Airport","Guiyang, China","",
"HGH","Hangchow, China: Hangchow Airport","Hangchow, China","",
"HGH","Hangzhou, China: Hangzhou Airport","Hangzhou, China","",
"TNA","Jinan, China: Jinan Airport","Jinan, China","",
"KWL","Kweilin, China: Kweilin Airport","Kweilin, China","",
"LHW","Lanzhou, China: Lanzhou China","Lanzhou, China","",
"LXA","Lhasa, China: Lhasa Airport","Lhasa, China","",
"MDG","Mudanjiang, China: Mudanjiang Airport","Mudanjiang, China","",
"KHN","Nanchang, China: Nanchang Airport","Nanchang, China","",
"NKG","Nanking, China: Nanking","Nanking, China","",
"NKG","Nanjing, China: Nanjing Airport","Nanjing, China","",
"/HA","Shanghai, China: (Shanghai Mean)","Shanghai, China","",
"SWA","Shantou, China: Shantou Airport","Shantou, China","",
"TSN","Tianjin, China: Tianjin Airport","Tianjin, China","",
"/XI","Xi An, China: (Xi An Mean)","Xi An, China","",
"INC","Yinchuan, China: Yinchuan Airport","Yinchuan, China","",
"CGO","Zhengzhou, China: Zhengzhou Airport","Zhengzhou, China","",
"HHP","Hong Kong, Hong Kong-China: Shun Tak Heliport","Hong Kong, Hong Kong-China","",
"HKG","Hong Kong, Hong Kong-China: Chek Lap Kok","Hong Kong, Hong Kong-China","",
"HHP","Hong Kong, Hong KongChina: Hong Kong Heliport","Hong Kong, Hong Kong-China","",
"HKG","Hong Kong, Hong Kong-China: Kai Tak","Hong Kong, Hong Kong-China","",
"/HK","Hong Kong, Hong Kong-China: Hong Kong International","Hong Kong, Hong Kong-China","",
"/HK","Hong Kong, Hong Kong-China: (Hong Kong Mean)","Hong Kong, Hong Kong-China","",
"IXA","Agartala, India: Agartala Airport","Agartala, India","",
"AGR","Agra, India: Agra Airport","Agra, India","",
"AMD","Ahmedabad, India: Ahmedabad Airport","Ahmedabad, India","",
"IXD","Allahabad, India: Allahabad Airport","Allahabad, India","",
"ATQ","Amritsar, India: Amritsar Airport","Amritsar, India","",
"IXU","Aurangabad, India: Aurangabad Airport","Aurangabad, India","",
"WVZ","Darjeeling, India: Baghdogra","Darjeeling, India","",
"BLR","Bangalore, India: Bangalore Airport","Bangalore, India","",
"IXG","Belgaum, India: Belgaum Airport","Belgaum, India","",
"BHU","Bhavnagar, India: Bhaunagar","Bhavnagar, India","",
"BHO","Bhopal, India: Bhopal Airport","Bhopal, India","",
"BBI","Bhubaneswar, India: Bhubaneswar Airport","Bhubaneswar, India","",
"BHJ","Bhuj, India: Bhuj Airport","Bhuj, India","",
"BOM","Bombay, India: Bombay Airport","Bombay, India","",
"TUO","Taupo, New Zealand: Taupo Airport","Taupo, New Zealand","",
"TRG","Tauranga, New Zealand: Tauranga Airport","Tauranga, New Zealand","",
"TEU","Te Anau, New Zealand: Te Anau Airport","Te Anau, New Zealand","",
"TIU","Timaru, New Zealand: Timaru Airport","Timaru, New Zealand","",
"WAG","Wanganui, New Zealand: Wanganui Airport","Wanganui, New Zealand","",
"WLG","Wellington, New Zealand: Wellington International","Wellington, New Zealand","",
"WSZ","Westport, New Zealand: Westport Airport","Westport, New Zealand","",
"WHK","Whakatane, New Zealand: Whakatane Airport","Whakatane, New Zealand","",
"WRE","Whangarei, New Zealand: Whangarei Airport","Whangarei, New Zealand","",
"MHB","Auckland, New Zealand: Mechanics Bay Sea Plane Base","Auckland, New Zealand","",
"/AK","Auckland, New Zealand: Auckland N.Z./Metro Up 1","Auckland, New Zealand","",
"CMV","Coromandel, New Zealand: Coromandel Airport","Coromandel, New Zealand","",
"KKE","Kerikeri, New Zealand: Keri Keri","Kerikeri, New Zealand","",
"GTN","Mt.Cook/Glentanner, New Zealand: Mt.Cook/Glentanner Airport","Mt.Cook/Glentanner, New Zealand","",
"PKL","Pakatoa, New Zealand: Pakatoa","Pakatoa, New Zealand","",
"WGN","Waitangi, New Zealand: Waitangi","Waitangi, New Zealand","",
"IUE","Niue Island, Niue-New Zealand: Niue International","Niue Island, Niue-New Zealand","",
"OEC","Oecusse, Portuguese Timor: Ocussi","Oecusse, Portuguese Timor","",
"BCH","Baucau, East Timor-Indonesia: Baucau Airport","Baucau, East Timor-Indonesia","",
"DIL","Dili, East Timor-Indonesia: Presidente Nicolau Lobato International","Dili, East Timor-Indonesia","",
"OEC","Ocussi, East Timor-Indonesia: Ocussi Airport","Ocussi, East Timor-Indonesia","",
"HIR","Honiara, Solomon Islands: Kukum","Honiara, Solomon Islands","",
"KIE","Kieta, Solomon Islands: Kieta Airport","Kieta, Solomon Islands","",
"MUA","Munda, Solomon Islands: Munda Airport","Munda, Solomon Islands","",
"VAO","Suavanao, Solomon Islands: Suavanao Airport","Suavanao, Solomon Islands","",
"WKN","Wakunai, Solomon Islands: Wakunai Airport","Wakunai, Solomon Islands","",
"YND","Yandina, Solomon Islands: Yandina Airport","Yandina, Solomon Islands","",
"AKS","Auki, Solomon Islands: Auki","Auki, Solomon Islands","",
"GZO","Gizo, Solomon Islands: Gizo","Gizo, Solomon Islands","",
"HIR","Honiara, Solomon Islands: Henderson International","Honiara, Solomon Islands","",
"XYA","Yandina, Solomon Islands: Yandina Airport","Yandina, Solomon Islands","",
"HPA","Lifuka, Tonga: Lifuka Airport","Lifuka, Tonga","",
"TBU","Tonga Tapu, Tonga: Fua Amotu International","Tonga Tapu, Tonga","",
"VAV","Vava'u, Tonga: Vavau","Vava'u, Tonga","",
"EUA","Eua, Tonga: Eua","Eua, Tonga","",
"EPI","Epi, Vanuatu: Epi Airport","Epi, Vanuatu","",
"MTV","Mota Lava, Vanuatu: Mota Lava Airport","Mota Lava, Vanuatu","",
"AUY","Aneityum, Vanuatu: Anatom","Aneityum, Vanuatu","",
"SON","Espiritu Santo, Vanuatu: Espiritu","Espiritu Santo, Vanuatu","",
"LNE","Lonorore, Vanuatu: Lonorore Airport","Lonorore, Vanuatu","",
"VLI","Port Vila, Vanuatu: Port Vila Airport","Port Vila, Vanuatu","",
"SLH","Sola, Vanuatu: Sola Airport","Sola, Vanuatu","",
"TAH","Tanna Island, Vanuatu: Tanna Isl","Tanna Island, Vanuatu","",
"TGH","Tongoa, Vanuatu: Tongoa Airport","Tongoa, Vanuatu","",
"AWK","Wake Island, Wake Island: Wake Island Airfield","Wake Island, Wake Island","",
"WLS","Wallis Island, Wallis and Futuna Islands-France: Hihifo","Wallis Island, Wallis and Futuna Islands-France","",
"FUT","Futuna Island, Wallis and Futuna Islands-France: Pointe Vele","Futuna Island, Wallis and Futuna Islands-France","",
"APW","Apia, Western Samoa: Faleolo","Apia, Western Samoa","",
"APW","Apia, Western Samoa: Faleolo International","Apia, Western Samoa","",
"FGI","Apia, Western Samoa: Fagali I","Apia, Western Samoa","",
"/AP","Apia, Western Samoa: (Apia Mean)","Apia, Western Samoa","",
"AAU","Asau, Western Samoa: Asau W Sam","Asau, Western Samoa","",
"YXX","Abbotsford, Canada: Abbotsford Airport","Abbotsford, Canada","",
"ZAA","Alice Arm, Canada: Alice Arm Airport","Alice Arm, Canada","",
"YAA","Anahim Lake, Canada: Anahim Lake Airport","Anahim Lake, Canada","",
"QBC","Bella Coola, Canada: Bella Coola Valley","Bella Coola, Canada","",
"QQH","Big Bay, Canada: Big Bay (Jack Lane)","Big Bay, Canada","",
"YIG","Big Bay Marina, Canada: Big Bay Marina Airport","Big Bay Marina, Canada","",
"SKP","Skopje, Yugoslavia: Skopje Airport","Skopje, Yugoslavia","",
"SPU","Split, Yugoslavia: Sea Plane Base it Airport","Split, Yugoslavia","",
"TGD","Titograd, Yugoslavia: Titograd International","Titograd, Yugoslavia","",
"TIV","Tivat, Serbia and Montenegro: Tivat Airport","Tivat, Serbia and Montenegro","",
"ZAD","Zadar, Yugoslavia: Zadar Airport","Zadar, Yugoslavia","",
"ZAG","Zagreb, Yugoslavia: Zagreb Airport","Zagreb, Yugoslavia","",
"MBX","Maribor, Yugoslavia: Maribor Airport","Maribor, Yugoslavia","",
"POW","Portoroz, Yugoslavia: Portoroz Airport","Portoroz, Yugoslavia","",
"ALG","Algiers, Algeria: Alger/Dar El Beida","Algiers, Algeria","",
"AAE","Annaba, Algeria: Rabah Bitat","Annaba, Algeria","",
"BSK","Biskra, Algeria: Mohamed Khider","Biskra, Algeria","",
"BMW","Bordj Badji Mokhtar, Algeria: Bordj Mokhtar","Bordj Badji Mokhtar, Algeria","",
"CBH","Colomb-Bechar, Algeria: Bechar/Leger","Colomb-Bechar, Algeria","",
"CZL","Constantine, Algeria: Constantine/Ain El Bey","Constantine, Algeria","",
"DJG","Djanet, Algeria: Djanet Airport","Djanet, Algeria","",
"ELG","El Golea, Algeria: El Golea Airport","El Golea, Algeria","",
"GHA","Ghardaia, Algeria: Ghardaia Airport","Ghardaia, Algeria","",
"HME","Hassi Messaoud, Algeria: Hassi Messaoud/Oued Irara","Hassi Messaoud, Algeria","",
"INF","In Guezzam, Algeria: In Guezzam Airport","In Guezzam, Algeria","",
"ORN","Oran, Algeria: Es Senia","Oran, Algeria","",
"ORN","Oran, Algeria: Oran/Es Senia","Oran, Algeria","",
"TAF","Oran, Algeria: Tafaraoui","Oran, Algeria","",
"TMR","Tamanrasset, Algeria: Tamanrasset Airport","Tamanrasset, Algeria","",
"TLM","Tilimsen, Algeria: Tilimsen Airport","Tilimsen, Algeria","",
"TGR","Touggourt, Algeria: Touggourt/Sidi Mahdi","Touggourt, Algeria","",
"IAM","In Amenas, Algeria: Zarzaitine/In Amenas","In Amenas, Algeria","",
"/OM","Oran, Algeria: Oran Airport","Oran, Algeria","",
"TMR","Tamanrasset, Algeria: Aguemar","Tamanrasset, Algeria","",
"TMR","Tamenghest, Algeria: Tamenghest Airport","Tamenghest, Algeria","",
"BUG","Benguela, Angola: Benguela","Benguela, Angola","",
"CAB","Cabinda, Angola: Cabinda Airport","Cabinda, Angola","",
"DBA","Damba, Angola: Damba Airport","Damba, Angola","",
"DUE","Dundo, Angola: Dundo Airport","Dundo, Angola","",
"JZD","Ganda, Angola: Ganda Airport","Ganda, Angola","",
"JMB","Jamba, Angola: Jamba Airport","Jamba, Angola","",
"LAD","Luanda, Angola: Luanda Airport","Luanda, Angola","",
"SPP","Menongue, Angola: Menongue East","Menongue, Angola","",
"MSZ","Mossamedes, Angola: Mocamedes","Mossamedes, Angola","",
"NOV","Nova Lisboa, Angola: Nova Lisboa Airport","Nova Lisboa, Angola","",
"ARZ","N'zeto, Angola: Nzeto North","N'zeto, Angola","",
"VPE","Pereira D, Angola: Pereira D Eca","Pereira D, Angola","",
"PGI","Portugalia, Angola: Portugalia Airport","Portugalia, Angola","",
"SDD","Sa Da Bandeira, Angola: Sa Da Bandeira Airport","Sa Da Bandeira, Angola","",
"SSY","Sao Salvador, Angola: Sao Salvador Airport","Sao Salvador, Angola","",
"SVP","Silva Porto, Angola: Silva Porto Airport","Silva Porto, Angola","",
"SVP","Bie, Angola: Silva Port","Bie, Angola","",
"QFU","Cafunfo, Angola: Cafunfo Airport","Cafunfo, Angola","",
"PGI","Chitato, Angola: Chitato Airport","Chitato, Angola","",
"NOV","Huambo, Angola: Huambo","Huambo, Angola","",
"SVP","Kuito, Angola: Kuito Airport","Kuito, Angola","",
