"AIRPORT","TR_AIRPORT_NAME","TR_CITY_NAME","TR_STATE_NAME",
"RQT","Lubbock, TX: Town and Country Airpark","Lubbock, TX","Texas",
"LBB","Lubbock, TX: Lubbock International","Lubbock, TX","Texas",
"REE","Lubbock, TX: Reese Air Force Base","Lubbock, TX","Texas",
"LFK","Lufkin, TX: Angelina County","Lufkin, TX","Texas",
"XWY","Mcgregor, TX: Mcgregor Municipal","Mcgregor, TX","Texas",
"MAF","Midland/Odessa, TX: Midland Regional Air Trml","Midland/Odessa, TX","Texas",
"MAF","Midland/Odessa, TX: Midland International","Midland/Odessa, TX","Texas",
"VWH","Midland/Odessa, TX: Odessa Schlemeyer Field","Midland/Odessa, TX","Texas",
"MDD","Midland/Odessa, TX: Midland Airpark","Midland/Odessa, TX","Texas",
"VZH","Mineola, TX: Mineola Wisener","Mineola, TX","Texas",
"MWL","Mineral Wells, TX: Mineral Wells Airport","Mineral Wells, TX","Texas",
"MFE","Mission/Mcallen/Edinburg, TX: Miller International","Mission/Mcallen/Edinburg, TX","Texas",
"MPS","Mount Pleasant, TX: Mount Pleasant Municipal","Mount Pleasant, TX","Texas",
"PRX","Paris, TX: Cox Field","Paris, TX","Texas",
"RKP","Rockport, TX: Aransas County","Rockport, TX","Texas",
"FAL","Roma, TX: Falcon State Park","Roma, TX","Texas",
"SJT","San Angelo, TX: Mathis Field","San Angelo, TX","Texas",
"RND","San Antonio, TX: Randolph Air Force Base","San Antonio, TX","Texas",
"SAT","San Antonio, TX: San Antonio International","San Antonio, TX","Texas",
"SKF","San Antonio, TX: Kelly Air Force Base","San Antonio, TX","Texas",
"QQY","San Marcos, TX: San Marcos Municipal","San Marcos, TX","Texas",
"SWI","Sherman, TX: Sherman Municipal","Sherman, TX","Texas",
"FVD","Sonora, TX: Sonora Municipal","Sonora, TX","Texas",
"SGR","Sugar Land, TX: Sugar Land/Hull Field","Sugar Land, TX","Texas",
"SWW","Sweetwater, TX: Avenger Field","Sweetwater, TX","Texas",
"TPL","Temple, TX: Draughon Miller Municipal","Temple, TX","Texas",
"KDK","Kodiak, AK: Kodiak Municipal","Kodiak, AK","Alaska",
"KGK","Koliganek, AK: Koliganek Airport","Koliganek, AK","Alaska",
"KCD","Kongiganak, AK: Kongiganak","Kongiganak, AK","Alaska",
"KKH","Kongiganak, AK: Kongiganak Airport","Kongiganak, AK","Alaska",
"KOT","Kotlik, AK: Kotlik Airport","Kotlik, AK","Alaska",
"OTZ","Kotzebue, AK: Ralph Wien Memorial","Kotzebue, AK","Alaska",
"KKA","Koyuk, AK: Koyuk Airport","Koyuk, AK","Alaska",
"KYU","Koyukuk, AK: Koyukuk Airport","Koyukuk, AK","Alaska",
"UUK","Kuparuk, AK: North Kuparuk","Kuparuk, AK","Alaska",
"KWT","Kwethluk, AK: Kwethluk Airport","Kwethluk, AK","Alaska",
"KWK","Kwigillingok, AK: Kwigillingok Airport","Kwigillingok, AK","Alaska",
"SGU","St. George, UT: St George Municipal","St. George, UT","Utah",
"KWN","Kwinhagak, AK: Alas","Kwinhagak, AK","Alaska",
"KLN","Larsen Bay, AK: Larsen Bay Airport","Larsen Bay, AK","Alaska",
"KLL","Levelock, AK: Levelock Airport","Levelock, AK","Alaska",
"UXA","Lik Camp, AK: Lik Camp Airport","Lik Camp, AK","Alaska",
"LVD","Lime Village, AK: Lime Village Airport","Lime Village, AK","Alaska",
"DIO","Little Diomede, AK: Little Diomede Airport","Little Diomede, AK","Alaska",
"LPW","Little Port Walter, AK: Little Port Walter Airport","Little Port Walter, AK","Alaska",
"LNI","Lonely, AK: Lonely Dew Station","Lonely, AK","Alaska",
"KMO","Manokotak, AK: Manokatak Sea Plane Base","Manokotak, AK","Alaska",
"RTE","Marguerite Bay, AK: Marguerite Bay Airport","Marguerite Bay, AK","Alaska",
"MLL","Marshall, AK: Marshall Airport","Marshall, AK","Alaska",
"VZA","Marvel Creek Mine, AK: Marvel Creek Mine Airport","Marvel Creek Mine, AK","Alaska",
"MXY","Mccarthy, AK: Mccarthy Airport","Mccarthy, AK","Alaska",
"KMC","Mccord, AK: Mccord Sea Plane Base","Mccord, AK","Alaska",
"MCG","Mcgrath, AK: Mc Grath","Mcgrath, AK","Alaska",
"MDR","Medfra, AK: Medfra Airport","Medfra, AK","Alaska",
"MYU","Mekoryuk, AK: Mekoryuk Airport","Mekoryuk, AK","Alaska",
"WMK","Meyers Chuck, AK: Meyers Chuck Sea Plane Base","Meyers Chuck, AK","Alaska",
"MDO","Middleton Island, AK: Middleton Island Airport","Middleton Island, AK","Alaska",
"MHM","Minchumina, AK: Minchumina Airport","Minchumina, AK","Alaska",
"MNT","Minto, AK: Minto Airport","Minto, AK","Alaska",
"MNT","Minto, AK: Minto Airport","Minto, AK","Alaska",
"VZB","Mitrofania, AK: Mitrofania Airport","Mitrofania, AK","Alaska",
"VZG","Moffet Bay, AK: Moffet Bay Airport","Moffet Bay, AK","Alaska",
"KMY","Moser Bay, AK: Moser Bay Airport","Moser Bay, AK","Alaska",
"MOS","Moses Point, AK: Moses Point Airport","Moses Point, AK","Alaska",
"MOU","Mountain Village, AK: Mountain Village Airport","Mountain Village, AK","Alaska",
"VZC","Mush Bay, AK: Mush Bay Airport","Mush Bay, AK","Alaska",
"NNK","Naknek, AK: Naknek Airport","Naknek, AK","Alaska",
