FIRSTNAME | LASTNAME | TITLE | YEAR | TYPE | POSITION | GENDER
Michael | 'babeepower' Viera | Rock Steady  | 2002 | M |  | M
Michael | 'babeepower' Viera | "Lyricist Lounge Show, The"  | 2000 | M |  | M
Eloy | 'Chincheta' | ¡Ja me maaten...!  | 2000 | M | 20 | M
Antonio | 'El de Chipiona' | Guitarra muda, La  | 1953 | M |  | M
José | 'El Francés' | Alma gitana  | 1996 | M | 45 | M
Félix | 'El Gato' | Pelotazo nacional  | 1993 | M | 12 | M
Félix | 'El Gato' | "Querida Concha"  | 1992 | M |  | M
Félix | 'El Gato' | "Uno para todas"  | 1995 | M | 4 | M
Miguel | 'El Happy' Lora | "Granja tolima, La"  | 2004 | M |  | M
Marcial | 'El Jalisco' | Entre las patas de los caballos  | 2000 | M | 10 | M
José | 'El Morito' | Torrente 2: Misión en Marbella  | 2001 | M | 24 | M
Francisco | 'El Niño de la Manola' | Almendros - Plaza nueva -, Los  | 2000 | M |  | M
Víctor | 'El Payaso' | De la calle  | 2001 | M | 83 | M
Antonio | 'El Pescaíto' | Almendros - Plaza nueva -, Los  | 2000 | M |  | M
Luis | 'El Plojo' | De la calle  | 2001 | M | 80 | M
Janny | 'el Portugues' | Contrabandista, La  | 1982 | M | 22 | M
Antonio | 'El Rilete' | Almendros - Plaza nueva -, Los  | 2000 | M |  | M
Baltazar | 'El Toro' | Operación narcóticos  | 1991 | M | 20 | M
Luis Roberto | 'Formiga' | OP Pro 88 - Barra, Rio  | 1988 | M |  | M
 | 'Goochi' | Everybody's Business  | 1993 | M | 1 | M
Murray the | 'K' | Beatles at Shea Stadium, The  | 1966 | M |  | M
Murray the | 'K' | Beatles: The First U.S. Visit, The  | 1994 | V |  | M
Murray the | 'K' | Day the Music Died, The  | 1977 | M |  | M
Murray the | 'K' | I Wanna Hold Your Hand  | 1978 | M | 47 | M
Murray the | 'K' | That's the Way of the World  | 1975 | M |  | M
Murray the | 'K' | "Beatles Anthology, The"  | 1995 | mini |  | M
Néstor | 'Kick Boxer' | Violencia urbana  | 1996 | M | 21 | M
Tony | 'La Chispa' | Caceria de judiciales  | 1997 | M | 11 | M
Tony | 'La Chispa' | Violencia en la sierra  | 1995 | M | 4 | M
 | 'Raff' | Reflections of Evil  | 2002 | M | 57 | M
Pollino | 'Romero' | Estatua, La  | 1961 | M |  | M
Frans | 't Hoen | Dorp aan de rivier  | 1958 | M |  | M
Frans | 't Hoen | Zaak M.P., De  | 1960 | M |  | M
Jorrit | 't Hoen | "Oog in oog"  | 1990 | M |  | M
Dick | 't Hooft | Moord in extase  | 1984 | M | 46 | M
Jacob | 'The Jeweler' | Def Jam Fight for NY  | 2004 | VG | 31 | M
Jacob | 'The Jeweler' | State Property  | 2002 | M | 53 | M
Izzy | 'The Religious Nut' | Twister: A Musical Catastrophe  | 2000 | V | 15 | M
Ka'olelo | 'Ulaleo | Pele's Appeal  | 1990 | M |  | M
Oswald | 'Ô' | Skate - O Esporte Emoção  | 1987 | M |  | M
 | *NSYNC | 101 Biggest Celebrity Oops  | 2004 | TV |  | M
 | *NSYNC | 1998 Billboard Music Awards, The  | 1998 | TV |  | M
 | *NSYNC | 2000 MTV Movie Awards  | 2000 | TV | 39 | M
 | *NSYNC | 26th Annual American Music Awards, The  | 1998 | TV |  | M
 | *NSYNC | 28th Annual American Music Awards, The  | 2001 | TV |  | M
 | *NSYNC | Bubblegum Babylon  | 2002 | TV |  | M
 | *NSYNC | L'Oreal Summer Music Mania  | 1999 | TV |  | M
 | *NSYNC | MTV Snowed In 2000  | 2000 | TV |  | M
 | *NSYNC | MTV Video Music Awards 2001  | 2001 | TV | 5 | M
 | *NSYNC | MTV Video Music Awards 2002  | 2002 | TV |  | M
 | *NSYNC | Super Bowl XXXV Halftime Show  | 2001 | TV |  | M
 | *NSYNC | Teen Choice Awards 2002, The  | 2002 | TV |  | M
 | *NSYNC | Walt Disney World Very Merry Christmas Parade  | 1999 | TV |  | M
Todd | 1 | Who's the Man?  | 1993 | M | 10 | M
Todd | 1 | "Awake on the Wild Side"  | 1990 | M |  | M
Todd | 1 | "Fade to Black"  | 1991/II | M |  | M
Todd | 1 | "Yo! MTV Raps"  | 1988 | M |  | M
Mac | 10 | Love Hollywood Style  | 2005 | M |  | M
Dave | 104 | Austin Prowler  | 1999 | M |  | M
Angel | 11:11 | Big Apple  | 2001/II | M | 2 | M
Angel | 11:11 | Young Americans  | 2004 | M |  | M
Angel | 11:11 | Zoolander  | 2001 | M | 87 | M
Nick | 13 | Live Freaky Die Freaky  | 2003 | voice | 1 | M
The | 1st German Air Force Band | Hamina Tattoo  | 2004 | TV |  | M
The | 1st Indian Air Force Band | Hamina Tattoo  | 2004 | TV |  | M
Shaggy | 2 Dope | Backyard Wrestling 2: There Goes the Neighborhood  | 2004 | VG | 19 | M
Shaggy | 2 Dope | Big Money Hustlas  | 2000 | V | 2 | M
Shaggy | 2 Dope | Bowling Balls  | 2004 | V | 2 | M
Shaggy | 2 Dope | Juggalo Championship Wrestling Volume 1  | 2000 | V |  | M
Shaggy | 2 Dope | Summerslam  | 1998 | V |  | M
Shaggy | 2 Dope | WCW Road Wild '99  | 1999 | V |  | M
Shaggy | 2 Dope | "Raw Is War"  | 1997 | M |  | M
Shaggy | 2 Dope | "Sunday Night Heat"  | 1998 | M |  | M
Shaggy | 2 Dope | "WCW Monday Nitro"  | 1995 | M | 90 | M
Shaggy | 2 Dope | "WCW Saturday Night"  | 1991 | M |  | M
Shaggy | 2 Dope | "WCW Thunder"  | 1998 | M |  | M
Shaggy | 2 Dope | "WCW Worldwide Wrestling"  | 1991 | M |  | M
 | 2 Live Crew | "And You Don't Stop: 30 Years of Hip-Hop"  | 2004 | mini |  | M
 | 2 Live Crew | "Retrosexual: The 80's"  | 2004 | mini |  | M
Mode | 2 | 3000 scénarios contre un virus  | 1994 | M | 82 | M
Mode | 2 | Just to Get a Rep  | 2004 | M |  | M
 | 2nd Marine Division Band | Thunder in Carolina  | 1960 | M |  | M
 | 2Shae | "Pimp My Ride"  | 2004 | M |  | M
Benjamin | 2X | Malcolm X: Make It Plain  | 1994 | TV | 130 | M
 | 3 Doors Down | TMF Awards 2004  | 2004 | TV |  | M
 | 3 Doors Down | "Experience Live at the Sky Church"  | 2003 | M |  | M
 | 3 Steps Ahead | Thunderdome a Decade  | 2002 | V |  | M
The | 3 Whippets | All-Colored Vaudeville Show, An  | 1935 | M | 3 | M
André | 3000 | 1st Annual BET Awards  | 2001 | TV | 39 | M
André | 3000 | 30th Annual American Music Awards, The  | 2003 | TV |  | M
André | 3000 | 35th NAACP Image Awards  | 2004 | TV |  | M
André | 3000 | 46th Annual Grammy Awards, The  | 2004 | TV | 47 | M
André | 3000 | 4th Annual BET Awards  | 2004 | TV |  | M
André | 3000 | Be Cool  | 2005 | a | 5 | M
André | 3000 | Brit Awards 2004  | 2004 | TV |  | M
André | 3000 | Four Brothers  | 2006 | M |  | M
André | 3000 | Hip Hop Babylon 2  | 2003 | TV |  | M
André | 3000 | Hollywood Homicide  | 2003 | a | 17 | M
André | 3000 | MTV Icon: Janet Jackson  | 2001 | TV |  | M
André | 3000 | MTV Mardi Gras 2002  | 2002 | TV |  | M
André | 3000 | MTV Video Music Awards 2001  | 2001 | TV |  | M
André | 3000 | MTV Video Music Awards 2003  | 2003 | TV |  | M
André | 3000 | My Life in Idlewild  | 2005 | M |  | M
André | 3000 | Nickelodeon Kids' Choice Awards '04  | 2004 | TV |  | M
André | 3000 | Scarface: Origins of a Hip Hop Classic  | 2003 | V |  | M
André | 3000 | Soundz of Spirit  | 2003 | M |  | M
André | 3000 | TV's Illest Minority Moments Presented by Ego Trip  | 2004 | TV |  | M
André | 3000 | Untitled Andre Benjamin Project  | 2005 | M |  | M
André | 3000 | Whasango  | 2001 | M |  | M
André | 3000 | "And You Don't Stop: 30 Years of Hip-Hop"  | 2004 | mini |  | M
Franco | 30lance | Traviata a luci rosse  | 2004 | V |  | M
Franco | 30lance | Veuve sans pudeur, La  | 2002 | V |  | M
Articolo | 31 | Erba proibita, L'  | 2002 | M | 5 | M
 | 3rd Rail | Bloody Streetz  | 2003 | V | 3 | M
 | 3rd Storee | Honey  | 2003 | M | 46 | M
 | 4 Out of 5 Doctors | House on Sorority Row, The  | 1983 | M | 17 | M
Rappin' | 4-Tay | Girls Gone Wild: Doggy Style  | 2002 | V |  | M
Rappin' | 4-Tay | Tupac: Resurrection  | 2003 | archiv |  | M
Rappin' | 4-Tay | Winner Takes All  | 1998 | TV |  | M
 | 4-Zone | Beat, The  | 2003 | M |  | M
 | 40 Drag Queens | Hollywood: The Movie  | 1996 | V |  | M
 | 400 Blows | Buddyhead Presents: Punk Is Dead  | 2005 | V |  | M
The | 4D Jones | Kes  | 1969 | M | 12 | M
Mick | 5 | Plainsong  | 1982 | M |  | M
 | 50 Cent | 2003 MTV Movie Awards  | 2003 | TV |  | M
 | 50 Cent | 2003 Radio Music Awards  | 2003 | TV |  | M
 | 50 Cent | 3rd Annual BET Awards  | 2003 | TV |  | M
 | 50 Cent | 46th Annual Grammy Awards, The  | 2004 | TV |  | M
 | 50 Cent | Beef  | 2003 | M | 1 | M
 | 50 Cent | Beef 2  | 2004 | M |  | M
 | 50 Cent | Boogie special: 50 Cent  | 2003 | TV | 2 | M
 | 50 Cent | Brit Awards 2004  | 2004 | TV | 15 | M
 | 50 Cent | Evolution of Eminem, The  | 2004 | TV |  | M
 | 50 Cent | Fromage 2003  | 2003 | TV |  | M
 | 50 Cent | Groupie Love  | 2004 | V | 1 | M
 | 50 Cent | Hip Hop Babylon 2  | 2003 | TV |  | M
 | 50 Cent | Locked and Loaded  | 2005 | M |  | M
 | 50 Cent | MTV Bash: Carson Daly  | 2003 | TV |  | M
 | 50 Cent | MTV Does Miami  | 2003 | TV |  | M
 | 50 Cent | MTV Europe Music Awards 2002  | 2002 | TV |  | M
 | 50 Cent | MTV Europe Music Awards 2003  | 2003 | TV |  | M
 | 50 Cent | MTV Video Music Awards 2003  | 2003 | TV |  | M
 | 50 Cent | Shady National Convention, The  | 2004 | TV | 4 | M
 | 50 Cent | "And You Don't Stop: 30 Years of Hip-Hop"  | 2004 | mini |  | M
James | 52X | Malcolm X  | 1972 | archiv |  | M
 | 6-Pack | ID&T Presents the Darkraver  | 2004 | V |  | M
 | 6995 | Let Me Be Your Band  | 2003 | M | 4 | M
Lucky | 7 | Gendernauts  | 1999 | M | 15 | M
Marc | 7 | Sweet Potato Pie  | 2004 | V |  | M
Equipe | 84 | Europa canta  | 1966 | M |  | M
 | 98 Degrees | 26th Annual American Music Awards, The  | 1998 | TV |  | M
 | 98 Degrees | 28th Annual American Music Awards, The  | 2001 | TV |  | M
 | 98 Degrees | Bubblegum Babylon  | 2002 | TV |  | M
 | 98 Degrees | L'Oreal Summer Music Mania  | 1999 | TV |  | M
 | 98 Degrees | Walt Disney World Very Merry Christmas Parade  | 1999 | TV |  | M
 | 999 | Punk's Not Dead  | 2004 | M |  | M
 | @Mic | Fake Movies  | 2003 | V |  | M
 | @Mic | Up Late with Liam  | 2003 | V | 2 | M
Ahmed | A El Rahim | "Obecana zemlja"  | 2002 | M | 5 | M
Dragan | a zovu ga Elvis | Decak iz Junkovca  | 1995 | M | 31 | M
Brett | A'Hearn | Watch the Shadows Dance  | 1987 | M | 19 | M
Lejaren | a'Hiller | Sleep of Cyma Roget, The  | 1920 | M | 5 | M
Yussuf Abed | A'Nur | Me'Ahorei Hasoragim  | 1984 | M |  | M
John | A | Busty Backdoor Nurses  | 1996 | V |  | M
Yunga | A | Hei dao  | 1989 | M |  | M
 | A-Hito | Miami Shakedown  | 1993 | M | 23 | M
 | A-Man | Go to Hell  | 1999 | M |  | M
 | A-Trak | Hang the DJ  | 1998 | M | 4 | M
Cairns | A. | Patrick  | 2004 | M |  | M
Dominique | A. | Peau de cochon  | 2004 | M |  | M
Marko | A. | Blackmen Cruising Crenshaw  | 1999 | V |  | M
Narayana Rao | A. | Vara Vikrayam  | 1939 | M | 11 | M
Prasad | A. | Pelli Chesi Choodu  | 1988 | M | 8 | M
Satyanarayana | A. | Vara Vikrayam  | 1939 | M | 13 | M
Easy | A.D. | Beat This!: A Hip Hop History  | 1984 | TV |  | M
Easy | A.D. | Wild Style  | 1982 | M |  | M
Easy | A.D. | "And You Don't Stop: 30 Years of Hip-Hop"  | 2004 | mini |  | M
 | A.D.G. | "Histoires de fiction"  | 2003 | a |  | M
 | A.G. | Who's the Man?  | 1993 | M | 83 | M
 | A.J. (I) | 1st Annual BET Awards  | 2001 | TV | 12 | M
 | A.J. (I) | 2nd Annual BET Awards  | 2002 | TV |  | M
 | A.J. (I) | 3rd Annual BET Awards  | 2003 | TV |  | M
 | A.J. (I) | BET Comedy Awards  | 2004 | TV |  | M
 | A.J. (I) | Slip N' Slide: All Star Weekend 2  | 2004 | V |  | M
 | A.J. (I) | "106 & Park Top 10 Live"  | 2000 | M | 1 | M
 | A.J. (I) | "Moolah Beach"  | 2001 | M | 11 | M
 | A.J. (II) | Anal Addicts 11  | 2003 | V |  | M
 | A.J. (II) | Bizarre Peroxide Tales  | 2003 | V |  | M
 | A.J. (II) | Buttman's Bend Over Babes 6  | 2003 | V |  | M
 | A.J. (II) | Tia Bella: Extreme Close-up 3  | 1998 | V |  | M
 | A.J. (III) | Misty Beethoven: The Musical  | 2004 | V | 21 | M
 | A.J. (III) | Not Far From Heaven 2  | 2004 | V |  | M
 | A.J. (IV) | Wild Style  | 1982 | a |  | M
 | A.J. (IV) | "And You Don't Stop: 30 Years of Hip-Hop"  | 2004 | mini |  | M
 | A.J. (V) | Leather Bears at Play  | 1997 | V | 7 | M
Narayana | A.L. | Santanam  | 1955 | M | 17 | M
Raja | A.M. | Pakka Inti Ammayi  | 1953 | M | 4 | M
Kapoor | A.P. | Bhedi Trishul  | 1927 | M |  | M
Krishna | A.R. | Anugraham  | 1978 | M | 7 | M
Krishna | A.R. | Mahaveera  | 1988 | M |  | M
Krishna | A.R. | Mit Jayenge Mitane Wale  | 1977 | M |  | M
Krishna | A.R. | Oka Oori Katha  | 1977 | M |  | M
 | A.R.S. | Bombay  | 1995 | M | 20 | M
Alwi | A.S. | Cinta segi tiga  | 1983 | M |  | M
Alwi | A.S. | Melody cinta  | 1982 | M |  | M
Alwi | A.S. | "Rumah masa depan"  | 1984 | M |  | M
Giri | A.S. | Sumangali  | 1940 | M | 2 | M
Subba Rao | A.V. Jr. | Sri Venkateswara Mahatmyam  | 1960 | M | 15 | M
Subba Rao | A.V. | Chenchu Lakshmi  | 1958/I | M | 10 | M
Subba Rao | A.V. | Jayabheri  | 1959 | M | 17 | M
Subba Rao | A.V. | Madalasa  | 1948 | M | 3 | M
Subba Rao | A.V. | Mangalya Balam  | 1958 | M | 12 | M
Subba Rao | A.V. | Mohini Bhasmasura  | 1938 | M | 3 | M
Subba Rao | A.V. | Palletoori Pilla  | 1950 | M | 4 | M
Subba Rao | A.V. | Peddamanushulu  | 1954 | M | 6 | M
Subba Rao | A.V. | Sarangadhara  | 1957 | M | 12 | M
Subba Rao | A.V. | Sri Seetha Rama Kalyanam  | 1961 | M | 12 | M
Subba Rao | A.V. | Sri Venkateswara Mahatmyam  | 1960 | M | 5 | M
Subba Rao | A.V. | Vara Vikrayam  | 1939 | M | 12 | M
Subba Rao | A.V. | Vindhyarani  | 1948 | M | 7 | M
 | A.X.L. | Claudine  | 2002 | V | 12 | M
Brynjar | Aa | Adjø solidaritet  | 1985 | M | 40 | M
Andreas | Aabel | Bør Børson Jr.  | 1938 | M | 9 | M
Andreas | Aabel | Jeppe på bjerget  | 1933 | M |  | M
Andreas | Aabel | Kampen om tungtvannet  | 1948 | M | 8 | M
Andreas | Aabel | Prinsessen som ingen kunne målbinde  | 1932 | M | 3 | M
Andreas | Aabel | Spøkelse forelsker seg, Et  | 1946 | M | 6 | M
Hauk (I) | Aabel | Alexander den store  | 1917 | M |  | M
Hauk (I) | Aabel | Du har lovet mig en kone!  | 1935 | M | 6 | M
Hauk (I) | Aabel | Glad gutt, En  | 1932 | M | 1 | M
Hauk (I) | Aabel | Jeppe på bjerget  | 1933 | M | 1 | M
Hauk (I) | Aabel | Morderen uten ansikt  | 1936 | M |  | M
Hauk (I) | Aabel | Store barnedåpen, Den  | 1931 | M | 5 | M
Hauk (I) | Aabel | Troll-Elgen  | 1927 | M | 9 | M
Hauk (I) | Aabel | Ungen  | 1938 | M | 8 | M
Hauk (I) | Aabel | Valfångare  | 1939 | M | 4 | M
Per (I) | Aabel | Brudebuketten  | 1953 | M | 3 | M
Per (I) | Aabel | Cafajestes, Os  | 1962 | M |  | M
Per (I) | Aabel | Farlige leken, Den  | 1942 | M |  | M
Per (I) | Aabel | Herre med bart, En  | 1942 | M | 1 | M
Per (I) | Aabel | Kjære Maren  | 1976 | M |  | M
Per (I) | Aabel | Kjærlighet og vennskap  | 1941 | M | 3 | M
Per (I) | Aabel | Ombyte förnöjer  | 1939 | M | 2 | M
Per (I) | Aabel | Portrettet  | 1954 | M | 1 | M
Per (I) | Aabel | Slik kan det gjøres. Husmorfilmen 1954  | 1954 | M | 1 | M
Per (I) | Aabel | Spøkelse forelsker seg, Et  | 1946 | M | 1 | M
Per (I) | Aabel | Tre önskningar  | 1960 | M | 5 | M
Per (I) | Aabel | Uncertain Glory  | 1944 | M |  | M
Palle | Aabentoft | Mørkeræd  | 1998 | M | 5 | M
Dennis | Aaberg | Big Wednesday  | 1978 | M | 14 | M
Linus (I) | Aaberg | Chicken in the Case, The  | 1921 | M | 6 | M
Linus (I) | Aaberg | Jamaica Run  | 1953 | M |  | M
Linus (I) | Aaberg | President's Lady, The  | 1953 | M |  | M
Linus (II) | Aaberg | Kristin Lavransdatter  | 1995 | M |  | M
Linus (II) | Aaberg | "Första kärleken"  | 1992 | mini |  | M
Kristian | Aaby | Søndagsengler  | 1996 | M |  | M
Olaf | Aabye | Olsen Banden Junior  | 2001 | M |  | M
 | Aadil | Gandhi  | 1982 | M | 104 | M
Tørres | Aadland | Omringet  | 1960 | M | 22 | M
Tørres | Aadland | Shetlandsgjengen  | 1954 | M |  | M
Argo | Aadli | Nimed marmortahvlil  | 2002 | M | 10 | M
Argo | Aadli | Yantarnye krylya  | 2003 | M |  | M
Argo | Aadli | "Kodu keset linna"  | 2003 | M |  | M
Per | Aaeng | Heksenetter  | 1954 | M | 21 | M
 | Aafaq | Chalte Chalte  | 2003 | M | 16 | M
Karl | Aagaard Østvig Jr. | Unge viljer  | 1943 | M |  | M
Carl Powl | Aagaard | Powls i (k)nibe - koncertgyseren 'Flaskernes nat', The  | 2003 | V |  | M
Cecil | Aagaard | Ti gutter og en gjente  | 1944 | M | 18 | M
Egon | Aagaard | Jeg fandt en sang på vejen  | 1977 | TV |  | M
Egon | Aagaard | Næste stop paradis  | 1980 | M | 17 | M
Egon | Aagaard | "Matador"  | 1978 | M |  | M
Jesper | Aagaard | Partitalen  | 2002 | M | 1 | M
Lasse | Aagaard | Bananen - Skræl den før din nabo  | 1990 | M | 5 | M
Sebastian | Aagaard-Williams | Husk lige håndtasken - Nytårsaften med Ole  | 2003 | TV | 3 | M
Sebastian | Aagaard-Williams | Mgp 2003 - de unges melodi grand prix  | 2003 | TV | 18 | M
Sebastian | Aagaard-Williams | Møgunger  | 2003 | M |  | M
Sebastian | Aagaard-Williams | "Jesus & Josefine"  | 2003 | M | 9 | M
Sebastian | Aagaard-Williams | "Jesus, Josefine og budskabet bag"  | 2003 | M |  | M
Karl | Aagard Østvig | Villmarkens lov  | 1944 | M | 6 | M
Per | Aage Brandt | Talk Like Whales  | 1993 | M | 3 | M
Jan | Aagre | Begynnelsen på en historie  | 1988 | M | 8 | M
Thomas | Aagren | Pusher  | 1996 | M | 23 | M
John | Aagten | Green Sails  | 2000 | TV |  | M
 | Aakash | Anandam  | 2001 | M |  | M
 | Aakash | Kangalal Kaidhu Sei  | 2004 | M |  | M
 | Aakash | Onnam Ragam  | 2003 | M |  | M
Dee | Aaker | Her Twelve Men  | 1954 | M |  | M
Dee | Aaker | Ride Clear of Diablo  | 1954 | M |  | M
Dee | Aaker | Spin and Marty: The Movie  | 1955 | M | 13 | M
Lee | Aaker | Arena  | 1953 | M | 7 | M
Lee | Aaker | Atomic City, The  | 1952 | M | 5 | M
Lee | Aaker | Bigger Than Life  | 1956 | M |  | M
Lee | Aaker | Black Tuesday  | 1954 | M |  | M
Lee | Aaker | Bye Bye Birdie  | 1963 | M |  | M
Lee | Aaker | Challenge of Rin Tin Tin, The  | 1957 | M |  | M
Lee | Aaker | Desperate Search  | 1952 | M | 6 | M
Lee | Aaker | Destry  | 1954 | M | 13 | M
Lee | Aaker | Greatest Show on Earth, The  | 1952 | M |  | M
Lee | Aaker | Hans Christian Andersen  | 1952 | M |  | M
Lee | Aaker | High Noon  | 1952 | M |  | M
Lee | Aaker | Hondo  | 1953 | M | 9 | M
Lee | Aaker | Jeopardy  | 1953 | M | 4 | M
Lee | Aaker | Lion Is in the Streets, A  | 1953 | M |  | M
Lee | Aaker | Mister Scoutmaster  | 1953 | M | 11 | M
Lee | Aaker | Moochie of the Little League  | 1959 | TV | 9 | M
Lee | Aaker | Mooncussers, The  | 1962 | TV |  | M
Lee | Aaker | My Son John  | 1952 | M |  | M
Lee | Aaker | No Room for the Groom  | 1952 | M | 8 | M
Lee | Aaker | O. Henry's Full House  | 1952 | M | 14 | M
Lee | Aaker | Raid, The  | 1954 | M |  | M
Lee | Aaker | Ricochet Romance  | 1954 | M | 10 | M
Lee | Aaker | Something to Live For  | 1952 | M |  | M
Lee | Aaker | Take Me to Town  | 1953 | M | 5 | M
Lee | Aaker | "Adventures of Rin Tin Tin, The"  | 1954 | M | 1 | M
Kim Fupz | Aakeson | Bodilprisen 2003  | 2003 | TV |  | M
Kim Fupz | Aakeson | Pigerne bag 'Forbrydelser'  | 2004 | TV |  | M
Kim Fupz | Aakeson | Se til venstre, der er en Svensker  | 2003 | M |  | M
Steve | Aalam | 30:e november  | 1995 | M | 9 | M
Steve | Aalam | 9 millimeter  | 1997 | a | 3 | M
Steve | Aalam | Dödsdoktorn  | 2002 | a | 1 | M
Steve | Aalam | It's All About Love  | 2003 | a |  | M
Steve | Aalam | Mellan himmel och hästben  | 2001 | M | 6 | M
Steve | Aalam | Rånarna  | 2004 | M | 7 | M
 | Aalami | Romancero marroquí  | 1939 | M |  | M
Freddy | Aalbeck | Hans Brinker  | 1969 | TV |  | M
George | Aalbregise | Lovers, Liars and Thieves  | 1997 | M | 35 | M
Niels | Aalbæk Jensen | Pink Prison  | 1999 | V | 10 | M
Karsten | Aalholm | Musik&Fis  | 1994 | V |  | M
Preben | Aalholt | Carlo & Ester  | 1994 | M | 11 | M
 | Aalija | Shaheed  | 1965 | M | 37 | M
Henri | Aalto | Papukaijamies  | 1992 | M |  | M
Jussi | Aalto | Jäniksen vuosi  | 1977 | M |  | M
Keijo | Aalto | Lunastus  | 1997 | M | 17 | M
Petri | Aalto | Kiljusen herrasväen uudet seikkailut  | 1990 | M | 67 | M
Petri | Aalto | Lahja  | 1997 | TV | 18 | M
Petri | Aalto | Loma  | 1976 | M |  | M
Petri | Aalto | Ursula  | 1986 | M |  | M
Rostislav | Aalto | Rundi  | 1990 | M |  | M
Teemu | Aalto | Kaljupää 2 - Mutta Missä On Mr.Fuck  | 1997 | V | 1 | M
Tero | Aalto | Klassikko  | 2001 | M | 41 | M
Pauli | Aalto-Setälä | "Hyvät, pahat ja rumat"  | 1992 | M |  | M
Pauli | Aalto-Setälä | "Kymmenen uutiset"  | 1981 | M |  | M
Pauli | Aalto-Setälä | "Vaarallinen risteys"  | 2003 | M |  | M
Heikki | Aaltoila | Kirkastuva sävel  | 1946 | M | 9 | M
Heikki | Aaltoila | Ristikon varjossa  | 1945 | M |  | M
Heikki | Aaltoila | Skandaali tyttökoulussa  | 1960 | M | 31 | M
Alpo | Aaltokoski | Vertebra  | 2003 | M | 1 | M
Jouko | Aaltonen | Aurinkotuuli  | 1980 | M | 12 | M
Juha | Aaltonen | Klassikko  | 2001 | M | 42 | M
Jukka | Aaltonen | Kiljusen herrasväen uudet seikkailut  | 1990 | M | 11 | M
Jukka | Aaltonen | Terveisiä PC:stä  | 2000 | TV | 4 | M
Kosti | Aaltonen | Aktivistit  | 1939 | M |  | M
Kosti | Aaltonen | Hätävara  | 1939 | M |  | M
Kosti | Aaltonen | Jumalan myrsky  | 1940 | M |  | M
